Loading 7 scene(s): ['07-004', '10-003', '12-002', '16-002', '17-004', '22-005', '18-003']
train patches: 2349, val patches: 423
class weights: {'background': 0.5049043893814087, 'line_marking': 5.861933708190918, 'crosswalk': 4.554579257965088, 'other': 20.0}
epoch 1/80  loss=1.8359  val_mIoU=0.4064  {'background': 0.9443, 'line_marking': 0.111, 'crosswalk': 0.1637, 'other': None}  (23.4s)
epoch 2/80  loss=1.6184  val_mIoU=0.3920  {'background': 0.9433, 'line_marking': 0.0982, 'crosswalk': 0.1346, 'other': None}  (23.0s)
epoch 3/80  loss=1.5313  val_mIoU=0.4720  {'background': 0.9376, 'line_marking': 0.1154, 'crosswalk': 0.363, 'other': None}  (23.3s)
epoch 4/80  loss=1.4740  val_mIoU=0.4495  {'background': 0.9434, 'line_marking': 0.1283, 'crosswalk': 0.2767, 'other': None}  (23.4s)
epoch 5/80  loss=1.4449  val_mIoU=0.4774  {'background': 0.9586, 'line_marking': 0.1181, 'crosswalk': 0.3557, 'other': None}  (23.3s)
epoch 6/80  loss=1.4293  val_mIoU=0.3786  {'background': 0.8948, 'line_marking': 0.0897, 'crosswalk': 0.1513, 'other': None}  (23.1s)
epoch 7/80  loss=1.4253  val_mIoU=0.4650  {'background': 0.9442, 'line_marking': 0.133, 'crosswalk': 0.3176, 'other': None}  (23.0s)
epoch 8/80  loss=1.4168  val_mIoU=0.4937  {'background': 0.9502, 'line_marking': 0.1412, 'crosswalk': 0.3896, 'other': None}  (21.9s)
epoch 9/80  loss=1.3888  val_mIoU=0.4292  {'background': 0.9296, 'line_marking': 0.1219, 'crosswalk': 0.2361, 'other': None}  (21.8s)
epoch 10/80  loss=1.3777  val_mIoU=0.4901  {'background': 0.9585, 'line_marking': 0.1309, 'crosswalk': 0.3808, 'other': None}  (21.8s)
epoch 11/80  loss=1.3590  val_mIoU=0.4525  {'background': 0.9428, 'line_marking': 0.1332, 'crosswalk': 0.2814, 'other': None}  (21.8s)
epoch 12/80  loss=1.3328  val_mIoU=0.4821  {'background': 0.9508, 'line_marking': 0.1531, 'crosswalk': 0.3423, 'other': None}  (21.8s)
epoch 13/80  loss=1.3554  val_mIoU=0.4944  {'background': 0.9517, 'line_marking': 0.1583, 'crosswalk': 0.3732, 'other': None}  (21.9s)
epoch 14/80  loss=1.3295  val_mIoU=0.4861  {'background': 0.9364, 'line_marking': 0.1466, 'crosswalk': 0.3752, 'other': None}  (21.8s)
epoch 15/80  loss=1.3119  val_mIoU=0.4873  {'background': 0.9548, 'line_marking': 0.1303, 'crosswalk': 0.3768, 'other': None}  (21.8s)
epoch 16/80  loss=1.2989  val_mIoU=0.4802  {'background': 0.9466, 'line_marking': 0.1606, 'crosswalk': 0.3334, 'other': None}  (21.8s)
epoch 17/80  loss=1.2735  val_mIoU=0.4976  {'background': 0.9612, 'line_marking': 0.1188, 'crosswalk': 0.4126, 'other': None}  (21.8s)
epoch 18/80  loss=1.2487  val_mIoU=0.5050  {'background': 0.9557, 'line_marking': 0.1497, 'crosswalk': 0.4096, 'other': None}  (21.8s)
epoch 19/80  loss=1.2476  val_mIoU=0.5153  {'background': 0.9518, 'line_marking': 0.1654, 'crosswalk': 0.4286, 'other': None}  (21.8s)
epoch 20/80  loss=1.2480  val_mIoU=0.5149  {'background': 0.9553, 'line_marking': 0.172, 'crosswalk': 0.4173, 'other': None}  (21.8s)
epoch 21/80  loss=1.2243  val_mIoU=0.5197  {'background': 0.9559, 'line_marking': 0.1722, 'crosswalk': 0.4311, 'other': None}  (21.8s)
epoch 22/80  loss=1.2184  val_mIoU=0.4574  {'background': 0.9387, 'line_marking': 0.1456, 'crosswalk': 0.288, 'other': None}  (21.8s)
epoch 23/80  loss=1.2102  val_mIoU=0.4857  {'background': 0.9362, 'line_marking': 0.1519, 'crosswalk': 0.3689, 'other': None}  (21.8s)
epoch 24/80  loss=1.2422  val_mIoU=0.4868  {'background': 0.9497, 'line_marking': 0.1656, 'crosswalk': 0.3451, 'other': None}  (21.8s)
epoch 25/80  loss=1.2070  val_mIoU=0.5073  {'background': 0.9494, 'line_marking': 0.1721, 'crosswalk': 0.4006, 'other': None}  (21.8s)
epoch 26/80  loss=1.1713  val_mIoU=0.5107  {'background': 0.9593, 'line_marking': 0.1492, 'crosswalk': 0.4237, 'other': None}  (21.8s)
epoch 27/80  loss=1.1811  val_mIoU=0.5016  {'background': 0.9445, 'line_marking': 0.177, 'crosswalk': 0.3832, 'other': None}  (21.8s)
epoch 28/80  loss=1.1701  val_mIoU=0.5123  {'background': 0.9501, 'line_marking': 0.163, 'crosswalk': 0.4238, 'other': None}  (21.8s)
epoch 29/80  loss=1.1798  val_mIoU=0.4914  {'background': 0.9482, 'line_marking': 0.1678, 'crosswalk': 0.3582, 'other': None}  (21.8s)
epoch 30/80  loss=1.1656  val_mIoU=0.4952  {'background': 0.954, 'line_marking': 0.1374, 'crosswalk': 0.3941, 'other': None}  (21.8s)
epoch 31/80  loss=1.1593  val_mIoU=0.5130  {'background': 0.9514, 'line_marking': 0.1752, 'crosswalk': 0.4124, 'other': None}  (21.8s)
epoch 32/80  loss=1.1518  val_mIoU=0.5074  {'background': 0.9384, 'line_marking': 0.1545, 'crosswalk': 0.4292, 'other': None}  (21.7s)
epoch 33/80  loss=1.1474  val_mIoU=0.5063  {'background': 0.9406, 'line_marking': 0.1544, 'crosswalk': 0.424, 'other': None}  (21.8s)
epoch 34/80  loss=1.1549  val_mIoU=0.4804  {'background': 0.9464, 'line_marking': 0.1573, 'crosswalk': 0.3376, 'other': None}  (21.8s)
epoch 35/80  loss=1.1375  val_mIoU=0.5204  {'background': 0.9534, 'line_marking': 0.1812, 'crosswalk': 0.4267, 'other': None}  (21.8s)
epoch 36/80  loss=1.1362  val_mIoU=0.4989  {'background': 0.9554, 'line_marking': 0.1479, 'crosswalk': 0.3933, 'other': None}  (21.8s)
epoch 37/80  loss=1.1336  val_mIoU=0.5133  {'background': 0.9527, 'line_marking': 0.1745, 'crosswalk': 0.4128, 'other': None}  (21.7s)
